Abschnittsname;Technologie 1;Technologie 2;Technologie 3;Technologie 4;Technologie 5;Technologie 6;Technologie 7;Technologie 8;Technologie 9;Technologie 10;Technologie 11;Technologie 12;Technologie 13;Technologie 14;Technologie 15;Technologie 16
Basic Concepts;RFID;QR Code;Barcodes in General (without QR);Mobile App (Smartphone, Tablet);Device-to-Device-Communication Forms;Hash-Algorithm;JSON;Cybersecurity;Digital Certificate and TLS/SSL;Symmetric and Asymmetric Encryption;;;;;;
Cloud Concepts;Public Cloud;Private Cloud;Hybrid Cloud;Software as a Service;Software-defined Security;Software defined Network;Serverless Function (e.g. AWS Lambda);Plattform as a Service: e.g. AWS Elastic Beanstalk;Single Board Computer;Docker Container;Enterprise Service Bus;Container Management System (e.g. Kubernetes / OpenShift);Hypervisor;Message Broker;Monitoring System (e.g. Prometheus);Identity and Access Management (OpenId Connect)
App Concepts;REST API;Non REST APIs;API Gateway;Angular;Asp.Net Core (Server-side) Blazor;Web Assembly;Progressive Web App;Web Application;Web Socket;Widget / Micro-App;"Modern ""Terminal"" Apps (Client-Server-Apps)";Touchscreen (Stand-alone);Microservices (Focus Architecture);Cloud-native Application;Event-driven Architecture;
Wearable Concepts;Enterprise Wearable;Consumer Wearable;Smart Glasses;;;;;;;;;;;;;
AI Concepts;AI without Machine Learing;Machine Learning;AI as a Service (e.g. Microsoft Cognitive Services);;;;;;;;;;;;;
Information System Concepts;Customer Relationship Management;Enterprise Resource Planning;Data-centric Internet Platform;Transaction-based Platform;;;;;;;;;;;;
Visualization Concepts;2D Game Engine;3D Game Engine;GraphViz;Virtual Reality;Dashboard Solutions (e.g. Grafana);;;;;;;;;;;
Programming Concepts;Git / Github - Version Control;Online Integrated Development Environment;Automation Server (e.g. Jenkins);;;;;;;;;;;;;
Automation Concepts;Robotic Process Automation;Business Intelligence Solution;Online Collaboration Platform;Workflow Engine;Robotic;Speech Assistance;Instant Messaging;Social Bot;Web Bot;;;;;;;
Industrial Internet Concepts;Internet of Things;Edge Computing;Mesh Computing;Digital Twin;IoT-Platform (e.g. Azure IoT Hub);3D Printer;Drone (Industrial Context);;;;;;;;;
Data-Management Concepts;In-memory Database;Relational Database;Data Warehouse;Blockchain;Data Lake;NoSQL-Database;Data Stream Processing;****** Corporate Generic Concepts;Gamification;Digital Customer Touchpoint;Online Workplace;Microlearning Concepts;Digital Social Engineering;Intelligent Product/Service;(Digital) Human Augmentation;Video/Audio Casts